1155225,3003128516,"Millstone Medical Outsourcing, LLC",10/22/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1153684,1815692,Abbott Nutrition,09/24/2021,Foods,21 CFR 106.30(d),"Instrument used to measure, regulate, control parameter","An instrument you used to measure, regulate, or control a processing parameter was not properly maintained."
1153684,1815692,Abbott Nutrition,09/24/2021,Foods,21 CFR 106.30(e)(5),"Thermal process - frequency, monitor temperature",You did not monitor the temperature in a thermal processing equipment at a frequency as is necessary to maintain temperature control.
1153684,1815692,Abbott Nutrition,09/24/2021,Foods,21 CFR 106.30(g),"Filter - 0.5 micrometer or smaller, compressed gas",You did not install a filter capable of retaining particles 0.5 micrometer or smaller when compressed gas is used at a product filling machine.
1153939,1000135253,"Viper Technologies, LLC dba Avalign Thortex",09/24/2021,Devices,21 CFR 820.90(a),"Nonconforming product,  Lack of or inadequate procedures",Procedures have not been adequately established to control product that does not conform to specified requirements.
1153939,1000135253,"Viper Technologies, LLC dba Avalign Thortex",09/24/2021,Devices,21 CFR 820.100(a),Lack of or inadequate procedures,Procedures for corrective and preventive action have not been adequately established.
1153939,1000135253,"Viper Technologies, LLC dba Avalign Thortex",09/24/2021,Devices,21 CFR 820.184,Lack of or inadequate DHR procedures,Procedures for device history records have not been adequately established.
1153939,1000135253,"Viper Technologies, LLC dba Avalign Thortex",09/24/2021,Devices,21 CFR 820.198(a),Lack of or inadequate complaint procedures,"Procedures for receiving, reviewing, and evaluating complaints by a formally designated unit have not been adequately established."
1149127,3013949174,CUPPACO FOODS DBA BEVERAGES LLC,09/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1150612,3012123314,"This and That Canine Company, Inc.",09/23/2021,Veterinary Medicine,21 CFR 1.512(b)(3)(i),"Very small importer assurances, supplier","As a very small importer, you did not obtain written assurance, before importing a food, that your foreign supplier produced the food in compliance with process and procedures that provide the required level of public health protection."
1152246,3017419564,"WOOLTARI USA, INC",09/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1152408,2648479,Campofresco Corp.,09/23/2021,Foods,21 CFR 120.6(b),Sanitation monitoring,"You are not monitoring the sanitation conditions and practices with sufficient frequency to assure conformance with current good manufacturing practice including condition and cleanliness of food contact surfaces and protection of food, food packaging material, and food contact surfaces from adulteration."
1152435,3005392916,Bakery 52 dba Longos Bakery,09/23/2021,Foods,21 CFR 117.126(a)(1),Food Safety Plan,You did not have a written food safety plan.
1152441,3012362457,"Anovite, Inc.",09/23/2021,Foods,21 CFR 111.70(e),"Specifications - identity, purity, strength, composition","You did not establish product specifications for the identity, purity, strength and composition of the finished dietary supplement."
1152441,3012362457,"Anovite, Inc.",09/23/2021,Foods,21 CFR 111.75(h)(2),"Tests, examinations - scientifically valid","You did not ensure that the tests or examinations that you used to determine whether the specifications are met are appropriate, scientifically valid methods."
1152451,1081236,"Liborio Spices and Products, Inc.",09/23/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Sanitation,You did not clean and sanitize your utensils or equipment in a manner that protects against contamination.
1152451,1081236,"Liborio Spices and Products, Inc.",09/23/2021,Foods,21 CFR 117.80(a),Plant Operations - precautions,You did not conduct operations in accordance with adequate sanitation principles and take adequate precautions to ensure that production procedures did not contribute to allergen cross-contact and to contamination.
1152453,2648411,"Borinquen Cones of Puerto Rico, Inc.",09/23/2021,Foods,21 CFR 117.4,Training of employees and records,You did not train employees in the principles of food hygiene and food safety.
1152453,2648411,"Borinquen Cones of Puerto Rico, Inc.",09/23/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Sanitation,You did not clean and sanitize your utensils or equipment in a manner that protects against allergen cross-contact and contamination.
1152453,2648411,"Borinquen Cones of Puerto Rico, Inc.",09/23/2021,Foods,21 CFR 117.35(c),Pest Control,You did not exclude pests from your food plant to protect against contamination of food.
1152453,2648411,"Borinquen Cones of Puerto Rico, Inc.",09/23/2021,Foods,21 CFR 117.40(f),Instruments and Controls,"Your instruments and controls were not accurate, precise and adequately maintained."
1152453,2648411,"Borinquen Cones of Puerto Rico, Inc.",09/23/2021,Foods,21 CFR 117.80(a),Plant Operations - precautions,"You did not conduct operations in accordance with adequate sanitation principles, have plant sanitation under the supervision of a competent individual and take adequate precautions to ensure that production procedures did not contribute to allergen cross-contact and to contamination."
1152453,2648411,"Borinquen Cones of Puerto Rico, Inc.",09/23/2021,Foods,21 CFR 117.135(c)(2),Allergen Controls Procedures,Your allergen controls procedures did not include appropriate controls for labeling.
1152555,2125054,"Vern's Cheese, Inc.",09/23/2021,Foods,21 CFR 117.4,Training of employees and records,You did not train employees in the principles of food hygiene and food safety and have records documenting training of qualified individuals.
1152555,2125054,"Vern's Cheese, Inc.",09/23/2021,Foods,21 CFR 117.126(a)(1),Food Safety Plan,You did not have a written food safety plan.
1152639,3012675651,Piedmont Provisions,09/23/2021,Foods,21 CFR 117.4,Training of employees and records,You did not train employees in the principles of food hygiene and food safety and have records documenting training of qualified individuals.
1152639,3012675651,Piedmont Provisions,09/23/2021,Foods,21 CFR 117.35(b)(1),Cleaning and sanitizing substances- safe and adequate,You did not ensure that your cleaning compounds and sanitizing agents are safe and adequate under the conditions of use.
1152639,3012675651,Piedmont Provisions,09/23/2021,Foods,21 CFR 117.40(e),Temperature Devices,Your cold storage unit used to store and hold food did not have a temperature device installed.
1152639,3012675651,Piedmont Provisions,09/23/2021,Foods,21 CFR 117.145(c)(1),Process Controls Monitoring Records,You did not have process controls monitoring records.
1152892,2130149,River Valley Sprouts,09/23/2021,Foods,21 CFR 112.142(b)(1),Discontinue using seed,You did not discontinue the use of all seeds from a lot for which you know or have reason to believe that the seeds were contaminated with a pathogen.
1152892,2130149,River Valley Sprouts,09/23/2021,Foods,21 CFR 112.142(b)(2),Report contamination to seed supplier,You did not report the findings of microbial testing to the entity from whom you received your seeds or beans.
1152895,3004621561,Yell-O-Glow Corporation,09/23/2021,Foods,21 CFR 117.80(a),Plant Operations - precautions,You did not conduct operations in accordance with adequate sanitation principles.
1152911,3011954506,Yam Man Delivery  LLC,09/23/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1152921,3018514800,Nutralliance Inc,09/23/2021,Foods,21 CFR 117.130(a)(1),Hazard Analysis - Identification of Hazard,Your hazard analysis did not identify a known or reasonably foreseeable hazard that required a preventive control.
1152969,2618913,"Elmec Industries, Inc.",09/23/2021,Foods,21 CFR 117.10,Personnel,You did not take a reasonable measure and precaution related to personnel practices.
1152969,2618913,"Elmec Industries, Inc.",09/23/2021,Foods,21 CFR 117.20(a),Grounds,You did not keep the grounds around your plant in a condition that would protect against the contamination of food.
1152969,2618913,"Elmec Industries, Inc.",09/23/2021,Foods,21 CFR 117.35(a),Sanitary Operations - Plant Maintenance,You did not maintain your plant in a clean and sanitary condition and keep your plant in repair.
1152969,2618913,"Elmec Industries, Inc.",09/23/2021,Foods,21 CFR 117.35(c),Pest Control,You did not exclude pests from your food plant to protect against contamination of food.
1152969,2618913,"Elmec Industries, Inc.",09/23/2021,Foods,21 CFR 117.40(f),Instruments and Controls,"Your instruments and controls were not accurate, precise and adequately maintained."
1150955,3012462377,SEASON HARVEST FOODS INC,09/22/2021,Foods,21 CFR 1.505(a)(2),"Evaluation - performance, risk",You did not document that you conducted an evaluation or reviewed and assessed an evaluation conducted by another entity to determine a foreign supplier's performance and the risk posed by a food.
1150972,3012562014,Purvi Enterprises Inc,09/22/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1151295,3013848661,Uon USA Inc,09/22/2021,Foods,21 CFR 1.502(a),Develop FSVP,You did not develop an FSVP.
1151295,3013848661,Uon USA Inc,09/22/2021,Foods,21 CFR 1.510(b)(1),Record - translate to English,You did not provide an English translation of an FSVP record that you maintained in a language other than English.
1152349,3007361104,"Minamoto Wholesale, Ltd.",09/22/2021,Foods,21 CFR 123.6(c)(2),Critical control points,Your HACCP plan does not list one or more critical control points that are necessary for each of the identified food safety hazards.
1152349,3007361104,"Minamoto Wholesale, Ltd.",09/22/2021,Foods,21 CFR 123.6(c)(5),Corrective action plan,Your HACCP plan includes a corrective action plan that is not in accordance with 21 CFR 123.7(b) to ensure affected product is not entered into commerce and the cause of the deviation was corrected.
1152349,3007361104,"Minamoto Wholesale, Ltd.",09/22/2021,Foods,21 CFR 123.8(a)(2),"Ongoing verification - complaints, calibration records","Your verification procedures do not include, at a minimum, ongoing verification activities including review of consumer complaints, calibration of process monitoring instruments and review of monitoring, corrective action, and calibration records."
1152349,3007361104,"Minamoto Wholesale, Ltd.",09/22/2021,Foods,21 CFR 123.11(b),Sanitation monitoring,"You are not monitoring the sanitation conditions and practices with sufficient frequency to assure conformance with Current Good Manufacturing Practices including condition and cleanliness of food contact surfaces, prevention of cross-contamination from insanitary objects and protection of food, food packaging material, and food contact surfaces from adulteration."
